ArrivalDate,ArrivalWeekNumber,AssignedRoom,AverageDailyRate,BookingChanges,BookingCompany,BookingDistributionChannel,BookingMeal,BookingParking,CheckoutDate,Country,CustomerType,DaysInWaitingList,DepositType,LeadTime,MarketSegment,NumberOfAdult,NumberOfBabies,NumberOfChildren,RepeatedGuest,ReservedRoom,StaysInWeekendNights,StaysInWeekNights,TotalOfSpecialRequests,TravelAgent
2015-July-1,27,C               ,0,3,       NULL,Direct,BB       ,0,2015-07-01,PRT,Transient,0,No Deposit     ,342,Direct,2,0,0,0,C               ,0,0,0,       NULL
2015-July-1,27,C               ,0,4,       NULL,Direct,BB       ,0,2015-07-01,PRT,Transient,0,No Deposit     ,737,Direct,2,0,0,0,C               ,0,0,0,       NULL
2015-July-1,27,C               ,75,0,       NULL,Direct,BB       ,0,2015-07-02,GBR,Transient,0,No Deposit     ,7,Direct,1,0,0,0,A               ,0,1,0,       NULL
2015-July-1,27,A               ,75,0,       NULL,Corporate,BB       ,0,2015-07-02,GBR,Transient,0,No Deposit     ,13,Corporate,1,0,0,0,A               ,0,1,0,        304
2015-July-1,27,A               ,98,0,       NULL,TA/TO,BB       ,0,2015-07-03,GBR,Transient,0,No Deposit     ,14,Online TA,2,0,0,0,A               ,0,2,1,        240
2015-July-1,27,A               ,98,0,       NULL,TA/TO,BB       ,0,2015-07-03,GBR,Transient,0,No Deposit     ,14,Online TA,2,0,0,0,A               ,0,2,1,        240
2015-July-1,27,C               ,107,0,       NULL,Direct,BB       ,0,2015-07-03,PRT,Transient,0,No Deposit     ,0,Direct,2,0,0,0,C               ,0,2,0,       NULL
2015-July-1,27,C               ,103,0,       NULL,Direct,FB       ,0,2015-07-03,PRT,Transient,0,No Deposit     ,9,Direct,2,0,0,0,C               ,0,2,1,        303
2015-July-1,27,D               ,145,0,       NULL,TA/TO,HB       ,0,2015-07-05,PRT,Transient,0,No Deposit     ,35,Online TA,2,0,0,0,D               ,0,4,0,        240
2015-July-1,27,E               ,97,0,       NULL,TA/TO,BB       ,0,2015-07-05,USA,Transient,0,No Deposit     ,68,Online TA,2,0,0,0,D               ,0,4,3,        240
2015-July-1,27,G               ,154.77,1,       NULL,TA/TO,HB       ,0,2015-07-05,ESP,Transient,0,No Deposit     ,18,Online TA,2,0,1,0,G               ,0,4,1,        241
2015-July-1,27,E               ,94.71,0,       NULL,TA/TO,BB       ,0,2015-07-05,PRT,Transient,0,No Deposit     ,37,Online TA,2,0,0,0,E               ,0,4,0,        241
2015-July-1,27,E               ,97,0,       NULL,TA/TO,BB       ,0,2015-07-05,IRL,Transient,0,No Deposit     ,68,Online TA,2,0,0,0,D               ,0,4,3,        240
2015-July-1,27,E               ,97.5,0,       NULL,TA/TO,BB       ,0,2015-07-05,PRT,Contract,0,No Deposit     ,37,Offline TA/TO,2,0,0,0,E               ,0,4,0,          8
2015-July-1,27,E               ,88.2,0,       NULL,TA/TO,BB       ,0,2015-07-02,IRL,Transient,0,No Deposit     ,12,Online TA,2,0,0,0,A               ,0,1,0,        240
2015-July-1,27,G               ,107.42,0,        110,Corporate,BB       ,0,2015-07-02,FRA,Transient,0,No Deposit     ,0,Corporate,2,0,0,0,A               ,0,1,0,       NULL
2015-July-1,27,G               ,153,0,       NULL,Direct,BB       ,0,2015-07-05,GBR,Transient,0,No Deposit     ,7,Direct,2,0,0,0,G               ,0,4,1,        250
2015-July-1,27,F               ,97.29,0,       NULL,TA/TO,BB       ,0,2015-07-06,GBR,Transient,0,No Deposit     ,37,Online TA,1,0,0,0,F               ,1,4,1,        241
2015-July-1,27,A               ,84.67,1,       NULL,Direct,BB       ,0,2015-07-07,PRT,Transient,0,No Deposit     ,72,Direct,2,0,0,0,A               ,2,4,1,        250
2015-July-1,27,A               ,84.67,1,       NULL,Direct,BB       ,0,2015-07-07,PRT,Transient,0,No Deposit     ,72,Direct,2,0,0,0,A               ,2,4,1,        250
2015-July-1,27,D               ,99.67,1,       NULL,Direct,BB       ,0,2015-07-07,PRT,Transient,0,No Deposit     ,72,Direct,2,0,0,0,D               ,2,4,1,        250
2015-July-1,27,I               ,94.95,0,       NULL,TA/TO,HB       ,0,2015-07-01,GBR,Contract,0,No Deposit     ,127,Offline TA/TO,2,0,0,0,D               ,2,5,1,        115
2015-July-1,27,D               ,63.6,0,       NULL,TA/TO,BB       ,1,2015-07-08,PRT,Transient,0,No Deposit     ,78,Offline TA/TO,2,0,0,0,D               ,2,5,0,          5
2015-July-1,27,D               ,79.5,0,       NULL,TA/TO,BB       ,0,2015-07-08,IRL,Contract,0,No Deposit     ,48,Offline TA/TO,2,0,0,0,D               ,2,5,0,          8
2015-July-1,27,A               ,94,0,       NULL,TA/TO,BB       ,0,2015-07-08,PRT,Transient,0,No Deposit     ,77,Online TA,2,0,0,0,A               ,2,5,0,        240
2015-July-1,27,D               ,87.3,0,       NULL,TA/TO,BB       ,1,2015-07-08,PRT,Transient,0,No Deposit     ,99,Online TA,2,0,0,0,D               ,2,5,1,        240
2015-July-1,27,A               ,62,2,       NULL,Direct,BB       ,0,2015-07-15,NA,Transient,0,No Deposit     ,118,Direct,1,0,0,0,A               ,4,10,2,       NULL
2015-July-1,27,D               ,63.86,0,       NULL,TA/TO,BB       ,0,2015-07-16,GBR,Transient,0,No Deposit     ,95,Offline TA/TO,2,0,0,0,D               ,4,11,0,        241
2015-July-2,27,C               ,65.5,0,       NULL,TA/TO,BB       ,0,2015-07-08,IRL,Transient,0,No Deposit     ,69,Offline TA/TO,2,0,0,0,A               ,2,4,0,        175
2015-July-2,27,C               ,98,0,       NULL,TA/TO,BB       ,0,2015-07-06,ESP,Transient,0,No Deposit     ,15,Online TA,2,0,0,0,A               ,1,3,0,        240
2015-July-2,27,D               ,108.8,0,       NULL,TA/TO,BB       ,0,2015-07-06,PRT,Transient,0,No Deposit     ,36,Online TA,3,0,0,0,D               ,1,3,1,        241
